id,parent_id,type
1,,company
2,1,company
3,1,company
4,1,company
5,1,company
6,1,company
7,1,company
8,1,company
9,1,company
11,2,company
12,2,company
13,2,company
14,2,company
15,2,company
16,2,company
17,2,company
18,2,company
19,2,company
20,2,company
21,2,company
22,2,company
23,2,company
24,2,company
25,2,company
26,2,company
27,2,company
28,2,company
29,3,company
30,3,company
31,3,company
32,3,company
33,3,company
34,3,company
35,4,company
36,4,company
37,4,company
38,4,company
39,4,company
40,4,company
41,4,company
42,4,company
43,4,company
44,4,company
45,4,company
46,5,company
47,5,company
48,5,company
49,5,company
50,5,company
51,5,company
52,5,company
53,5,company
54,5,company
55,6,company
56,6,company
57,6,company
58,6,company
59,6,company
60,6,company
61,6,company
62,6,company
63,6,company
64,6,company
65,6,company
66,6,company
67,7,company
68,7,company
69,7,company
70,7,company
71,7,company
72,7,company
73,8,company
74,8,company
75,8,company
76,8,company
77,8,company
78,8,company
79,8,company
80,8,company
81,8,company
82,8,company
83,8,company
84,8,company
85,8,company
86,8,company
87,9,company
88,9,company
89,9,company
90,9,company
91,9,company
92,9,company
93,9,company
94,3,company
95,3,company
216,11,company
217,11,company
218,11,company
219,11,company
220,11,company
221,11,company
222,11,company
223,11,company
224,11,company
225,11,company
226,11,company
227,11,company
228,11,company
229,11,company
230,11,company
231,11,company
232,11,company
233,11,company
234,11,company
235,11,company
236,11,company
237,11,company
238,12,company
239,12,company
240,12,company
241,12,company
242,12,company
243,12,company
244,12,company
245,12,company
246,12,company
247,12,company
248,12,company
249,12,company
250,12,company
251,12,company
252,12,company
253,12,company
254,12,company
255,12,company
256,12,company
257,12,company
258,12,company
259,12,company
260,12,company
261,12,company
262,12,company
263,12,company
264,12,company
265,12,company
266,12,company
267,12,company
268,12,company
269,12,company
270,12,company
271,13,company
272,13,company
273,13,company
274,13,company
275,13,company
276,13,company
277,13,company
278,13,company
279,13,company
280,13,company
281,13,company
282,13,company
283,13,company
284,13,company
285,13,company
286,13,company
287,13,company
288,13,company
289,13,company
290,13,company
291,13,company
292,14,company
293,14,company
294,14,company
295,14,company
296,14,company
297,14,company
298,14,company
299,14,company
300,14,company
301,14,company
302,14,company
303,14,company
304,14,company
305,14,company
306,14,company
307,14,company
308,14,company
309,14,company
310,14,company
311,14,company
312,14,company
313,14,company
314,14,company
315,14,company
316,14,company
317,14,company
318,14,company
319,14,company
320,14,company
321,14,company
322,14,company
323,14,company
324,14,company
325,14,company
326,15,company
327,15,company
328,15,company
329,15,company
330,15,company
331,15,company
332,15,company
333,15,company
334,15,company
335,15,company
336,15,company
337,15,company
338,15,company
339,15,company
340,15,company
341,15,company
342,15,company
343,15,company
344,15,company
345,15,company
346,15,company
347,15,company
348,15,company
349,15,company
350,15,company
351,15,company
352,15,company
353,16,company
354,16,company
355,16,company
356,16,company
357,16,company
358,16,company
359,16,company
360,16,company
361,16,company
362,16,company
363,16,company
364,16,company
365,16,company
366,16,company
367,16,company
368,16,company
369,16,company
370,16,company
371,16,company
372,16,company
373,16,company
374,16,company
375,16,company
376,16,company
377,16,company
378,16,company
379,17,company
380,17,company
381,17,company
382,17,company
383,17,company
384,17,company
385,17,company
386,17,company
387,17,company
388,17,company
389,17,company
390,17,company
391,17,company
392,17,company
393,17,company
394,17,company
395,17,company
396,17,company
397,17,company
398,17,company
399,17,company
400,17,company
401,17,company
402,17,company
403,17,company
404,17,company
405,17,company
406,17,company
407,17,company
408,17,company
409,18,company
410,18,company
411,18,company
412,18,company
413,18,company
414,18,company
415,18,company
416,18,company
417,18,company
418,18,company
419,18,company
420,18,company
421,18,company
422,18,company
423,18,company
424,18,company
425,18,company
426,18,company
427,18,company
428,18,company
429,18,company
430,18,company
431,18,company
432,18,company
433,18,company
434,18,company
435,18,company
436,18,company
437,18,company
438,18,company
439,18,company
440,18,company
441,18,company
442,19,company
443,19,company
444,19,company
445,19,company
446,19,company
447,19,company
448,19,company
449,19,company
450,19,company
451,19,company
452,19,company
453,19,company
454,19,company
455,19,company
456,19,company
457,19,company
458,19,company
459,19,company
460,19,company
461,19,company
462,20,company
463,20,company
464,20,company
465,20,company
466,20,company
467,20,company
468,20,company
469,20,company
470,20,company
471,20,company
472,20,company
473,20,company
474,20,company
475,20,company
476,20,company
477,20,company
478,20,company
479,20,company
480,20,company
481,20,company
482,20,company
483,20,company
484,20,company
485,20,company
486,20,company
487,20,company
488,20,company
489,20,company
490,20,company
491,20,company
492,20,company
493,20,company
494,20,company
495,20,company
496,20,company
497,20,company
498,20,company
499,20,company
500,20,company
501,20,company
502,20,company
503,20,company
504,20,company
505,20,company
506,20,company
507,20,company
508,20,company
509,20,company
510,20,company
511,20,company
512,20,company
513,20,company
514,20,company
515,20,company
516,20,company
517,20,company
518,20,company
519,20,company
520,20,company
521,20,company
522,20,company
523,20,company
524,20,company
525,20,company
526,20,company
527,20,company
528,20,company
529,20,company
530,21,company
531,21,company
532,21,company
533,21,company
534,21,company
535,21,company
536,21,company
537,21,company
538,21,company
539,21,company
540,21,company
541,21,company
542,21,company
543,21,company
544,21,company
545,21,company
546,21,company
547,21,company
548,21,company
549,21,company
550,21,company
551,21,company
552,21,company
553,21,company
554,21,company
555,21,company
556,21,company
557,22,company
558,22,company
559,22,company
560,22,company
561,22,company
562,22,company
563,22,company
564,22,company
565,22,company
566,22,company
567,22,company
568,22,company
569,22,company
570,22,company
571,22,company
572,22,company
573,22,company
574,22,company
575,22,company
576,22,company
577,22,company
578,22,company
579,22,company
580,22,company
581,22,company
582,22,company
583,22,company
584,22,company
585,22,company
586,23,company
587,23,company
588,23,company
589,23,company
590,23,company
591,23,company
592,23,company
593,23,company
594,23,company
595,23,company
596,23,company
597,23,company
598,23,company
599,23,company
600,23,company
601,23,company
602,23,company
603,23,company
604,23,company
605,23,company
606,23,company
607,23,company
608,23,company
609,23,company
610,23,company
611,23,company
612,23,company
613,24,company
614,24,company
615,24,company
616,24,company
617,24,company
618,24,company
619,24,company
620,24,company
621,24,company
622,24,company
623,24,company
624,24,company
625,24,company
626,24,company
627,24,company
628,24,company
629,24,company
630,24,company
631,24,company
632,24,company
633,24,company
634,24,company
635,24,company
636,24,company
637,24,company
638,24,company
639,24,company
640,24,company
641,24,company
642,24,company
643,25,company
644,25,company
645,25,company
646,25,company
647,25,company
648,25,company
649,25,company
650,25,company
651,25,company
652,25,company
653,25,company
654,25,company
655,25,company
656,25,company
657,25,company
658,25,company
659,25,company
660,25,company
661,25,company
662,25,company
663,25,company
664,25,company
665,25,company
666,25,company
667,25,company
668,25,company
669,25,company
670,25,company
671,25,company
672,25,company
673,25,company
674,25,company
675,25,company
676,25,company
677,25,company
678,25,company
679,25,company
680,25,company
681,25,company
682,25,company
683,25,company
684,25,company
685,25,company
686,26,company
687,26,company
688,26,company
689,26,company
690,26,company
691,26,company
692,26,company
693,26,company
694,26,company
695,26,company
696,26,company
697,26,company
698,26,company
699,26,company
700,26,company
701,26,company
702,26,company
703,26,company
704,26,company
705,26,company
706,26,company
707,26,company
708,26,company
709,26,company
710,26,company
711,26,company
712,27,company
713,27,company
714,27,company
715,27,company
716,27,company
717,27,company
718,27,company
719,27,company
720,27,company
721,27,company
722,27,company
723,27,company
724,27,company
725,27,company
726,27,company
727,27,company
728,27,company
729,27,company
730,27,company
731,27,company
732,28,company
733,28,company
734,28,company
735,28,company
736,28,company
737,28,company
738,28,company
739,28,company
740,28,company
741,28,company
742,28,company
743,28,company
744,28,company
745,28,company
746,28,company
747,28,company
748,28,company
749,28,company
750,28,company
751,28,company
752,28,company
753,28,company
754,28,company
755,28,company
756,28,company
757,28,company
758,28,company
759,28,company
760,28,company
761,28,company
762,28,company
763,28,company
764,28,company
765,28,company
766,28,company
767,28,company
768,28,company
769,28,company
770,28,company
771,28,company
772,28,company
773,28,company
774,28,company
775,28,company
776,28,company
777,28,company
778,28,company
779,28,company
780,28,company
781,28,company
782,28,company
783,28,company
784,28,company
785,28,company
786,28,company
787,28,company
788,28,company
789,28,company
790,28,company
791,28,company
792,28,company
793,28,company
794,28,company
795,28,company
796,28,company
797,28,company
798,28,company
799,28,company
800,28,company
801,28,company
802,28,company
803,28,company
804,28,company
805,28,company
806,28,company
807,28,company
808,28,company
809,28,company
810,28,company
811,28,company
812,28,company
813,28,company
814,28,company
815,28,company
816,28,company
817,28,company
818,28,company
819,28,company
820,28,company
821,28,company
822,28,company
823,28,company
824,28,company
825,28,company
826,28,company
827,28,company
828,28,company
829,28,company
830,28,company
831,28,company
832,28,company
833,28,company
834,28,company
835,28,company
836,28,company
837,28,company
838,28,company
839,28,company
840,28,company
841,28,company
842,28,company
843,28,company
844,28,company
845,28,company
846,28,company
847,28,company
848,28,company
849,28,company
850,28,company
851,28,company
852,28,company
853,28,company
854,28,company
855,28,company
856,28,company
857,28,company
858,28,company
859,28,company
860,28,company
861,28,company
862,28,company
863,28,company
864,28,company
865,28,company
866,28,company
867,28,company
868,28,company
869,28,company
870,28,company
871,28,company
872,28,company
873,28,company
